symbol,entry_time,entry_price,p_up_signal,cost,exit_time,exit_price,pnl,return_pct
TSLA,2024-01-04T05:00:00+00:00,239.36962499999998,0.65396650876738,100000.0,2024-01-10T05:00:00+00:00,234.98245,-1832.8035564245074,-0.018328035564245074
TSLA,2024-02-13T05:00:00+00:00,184.081995,0.7125668449197861,98167.19644357548,2024-02-20T05:00:00+00:00,196.031935,6372.660767115987,0.06491639771722384
TSLA,2024-02-23T05:00:00+00:00,195.407655,0.5810206133735546,104539.85721069147,2024-02-29T05:00:00+00:00,204.07791000000003,4638.442745143679,0.044370088776716804
TSLA,2024-03-21T04:00:00+00:00,176.47819499999997,0.6220576896513503,109178.29995583514,2024-03-27T04:00:00+00:00,181.319295,2994.948287612511,0.02743171755581493
TSLA,2024-03-28T04:00:00+00:00,177.53872499999997,0.6406139399177104,112173.24824344766,2024-04-04T04:00:00+00:00,169.98496500000002,-4772.6477457322035,-0.0425471119047405
TSLA,2024-10-04T04:00:00+00:00,246.813345,0.6759762370499166,107400.60049771545,2024-10-10T04:00:00+00:00,241.689095,-2229.812683347467,-0.02076164074515485
TSLA,2024-11-04T05:00:00+00:00,244.68228,0.6759762370499166,105170.78781436798,2024-11-08T05:00:00+00:00,298.99043,23343.050915827946,0.22195375161617756
TSLA,2024-12-11T05:00:00+00:00,409.90484999999995,0.6759762370499166,128513.83873019592,2024-12-17T05:00:00+00:00,475.66205,20616.272767080576,0.16042064396164152
TSLA,2025-02-21T05:00:00+00:00,353.61672,0.6107961703199799,149130.1114972765,2025-02-27T05:00:00+00:00,291.01442000000003,-26401.14975045847,-0.17703433253947928
TSLA,2025-03-13T04:00:00+00:00,248.24906249999998,0.564143988062084,122728.96174681802,2025-03-19T04:00:00+00:00,231.49419500000002,-8283.24373825379,-0.06749216827354566
TSLA,2025-04-09T04:00:00+00:00,224.80234499999997,0.5859207982423841,114445.71800856423,2025-04-15T04:00:00+00:00,249.785045,12718.56412037232,0.11113184784616023
TSLA,2026-07-31T04:00:00+00:00,309.84484499999996,0.6348484848484849,127164.28212893655,2026-08-06T04:00:00+00:00,316.891475,2892.026960713949,0.022742447110908205
