symbol,entry_time,entry_price,p_up_signal,cost,exit_time,exit_price,pnl,return_pct
IWM,2024-04-09T04:00:00+00:00,206.32310999999999,0.6155674390968509,100000.0,2024-04-15T04:00:00+00:00,199.270315,-3418.3252666169865,-0.03418325266616987
IWM,2024-04-18T04:00:00+00:00,193.79684999999998,0.8051282051282053,96581.67473338301,2024-04-24T04:00:00+00:00,198.07091499999999,2130.0467764018686,0.022054357436666273
IWM,2024-04-30T04:00:00+00:00,198.209055,0.5835491429276113,98711.72150978488,2024-05-06T04:00:00+00:00,203.368265,2569.3806003489444,0.026029133734581385
IWM,2024-05-08T04:00:00+00:00,202.82136,0.6233100233100234,101281.10211013383,2024-05-14T04:00:00+00:00,207.02643500000002,2099.8509745510673,0.020732900124523463
IWM,2024-06-03T04:00:00+00:00,207.63376499999998,0.586859305125559,103380.9530846849,2024-06-07T04:00:00+00:00,201.429235,-3089.238519768289,-0.029882085892918086
IWM,2024-06-17T04:00:00+00:00,198.21905999999998,0.6025138260432378,100291.7145649166,2024-06-24T04:00:00+00:00,200.58965500000002,1199.4358014260797,0.011959470496934336
IWM,2024-08-02T04:00:00+00:00,208.954425,0.594017094017094,101491.15036634268,2024-08-08T04:00:00+00:00,204.31779,-2252.0576914264675,-0.022189695193102404
IWM,2024-09-04T04:00:00+00:00,212.86638,0.8632478632478633,99239.09267491622,2024-09-10T04:00:00+00:00,208.61564,-1981.7106900440122,-0.01996905288660415
IWM,2024-11-15T05:00:00+00:00,232.33611,0.6128022759601707,97257.3819848722,2024-11-21T05:00:00+00:00,232.04392,-122.31260324604227,-0.001257617681556216
IWM,2024-12-27T05:00:00+00:00,224.402145,0.5638331285527549,97135.06938162616,2025-01-03T05:00:00+00:00,221.958965,-1057.5587805178948,-0.010887507336438266
IWM,2025-01-13T05:00:00+00:00,214.60725,0.5994490358126722,96077.51060110827,2025-01-17T05:00:00+00:00,226.81653500000002,5465.974281015457,0.05689129794077331
IWM,2025-02-27T05:00:00+00:00,215.74781999999996,0.6216712580348944,101543.48488212372,2025-03-05T05:00:00+00:00,206.346775,-4424.679103750212,-0.043574229394299197
IWM,2025-03-10T04:00:00+00:00,203.54172,0.6883665548287189,97118.80577837351,2025-03-14T04:00:00+00:00,200.13988000000003,-1623.1691382439894,-0.01671323205876403
IWM,2025-04-04T04:00:00+00:00,182.701305,0.6462532299741602,95495.63664012952,2025-04-10T04:00:00+00:00,184.42774000000003,902.3855053624575,0.009449494627310059
IWM,2025-04-11T04:00:00+00:00,181.23056999999997,0.6462532299741602,96398.022145492,2025-04-17T04:00:00+00:00,184.89750500000002,1950.4727118393057,0.020233534552145566
IWM,2025-04-21T04:00:00+00:00,185.0925,0.6448258268726835,98348.49485733132,2025-04-25T04:00:00+00:00,192.62364000000002,4001.6547594302538,0.0406885206045627
IWM,2025-10-17T04:00:00+00:00,243.44165999999998,0.617517770295548,102350.14961676157,2025-10-23T04:00:00+00:00,244.167855,305.31408182537416,0.002983035031884055
IWM,2025-12-26T05:00:00+00:00,252.70629,0.5763230117534753,102655.46369858694,2026-01-02T05:00:00+00:00,247.50618500000002,-2112.4095884449052,-0.020577663500184282
IWM,2026-01-30T05:00:00+00:00,261.200535,0.611274630038427,100543.05411014204,2026-02-05T05:00:00+00:00,258.37075,-1089.2597382125095,-0.01083376418046001
