symbol,entry_time,entry_price,p_up_signal,cost,exit_time,exit_price,pnl,return_pct
SPY,2024-02-22T05:00:00+00:00,504.262005,0.5836098318765187,100000.0,2024-02-28T05:00:00+00:00,505.077335,161.68777181617043,0.0016168777181617042
SPY,2024-04-24T04:00:00+00:00,506.81327999999996,0.6159611025809754,100161.68777181617,2024-04-30T04:00:00+00:00,508.30572,294.95144503351185,0.002944753144590144
SPY,2024-05-03T04:00:00+00:00,511.41558,0.6159611025809754,100456.63921684968,2024-05-09T04:00:00+00:00,517.12131,1120.7684757643874,0.011156738713357234
SPY,2024-08-02T04:00:00+00:00,536.017875,0.6534432603496785,101577.40769261407,2024-08-08T04:00:00+00:00,523.648045,-2344.1294098603103,-0.023077271443606228
SPY,2024-08-23T04:00:00+00:00,559.809765,0.6702586206896551,99233.27828275376,2024-08-29T04:00:00+00:00,560.029845,39.01193092705216,0.0003931335495728779
SPY,2024-10-16T04:00:00+00:00,580.06989,0.5699510942219012,99272.2902136808,2024-10-22T04:00:00+00:00,580.759475,118.01454174255196,0.0011887964052056117
SPY,2024-10-30T04:00:00+00:00,581.5806449999999,0.6208333333333333,99390.30475542333,2024-11-05T05:00:00+00:00,570.4546300000001,-1901.4010027163022,-0.019130648682436507
SPY,2024-11-13T05:00:00+00:00,597.668685,0.563146551724138,97488.90375270703,2024-11-19T05:00:00+00:00,584.4176450000001,-2161.4472961441206,-0.022171213470887987
SPY,2024-12-05T05:00:00+00:00,607.9638299999999,0.6298132183908046,95327.45645656291,2024-12-11T05:00:00+00:00,605.47711,-389.9124928528181,-0.004090243329113542
SPY,2024-12-30T05:00:00+00:00,588.183945,0.6246635674088573,94937.5439637101,2025-01-06T05:00:00+00:00,595.971865,1257.0319262724079,0.013240619820046205
SPY,2025-01-28T05:00:00+00:00,600.92031,0.6246635674088573,96194.57588998252,2025-02-03T05:00:00+00:00,592.373665,-1368.1363025610626,-0.014222593009046545
SPY,2025-02-04T05:00:00+00:00,598.128915,0.6550008577800652,94826.43958742144,2025-02-10T05:00:00+00:00,603.727985,887.6679588391853,0.009360975300784497
SPY,2025-03-03T05:00:00+00:00,596.47809,0.622632058287796,95714.10754626062,2025-03-07T05:00:00+00:00,570.61455,-4150.2038223851705,-0.04336041915638497
SPY,2025-03-11T04:00:00+00:00,559.6796999999999,0.6214759535655058,91563.90372387545,2025-03-17T04:00:00+00:00,562.508605,462.810398633359,0.005054507068954077
SPY,2025-03-18T04:00:00+00:00,565.0823999999999,0.591337099811676,92026.71412250881,2025-03-24T04:00:00+00:00,570.5146,884.6630446396885,0.009613111291379997
SPY,2025-04-07T04:00:00+00:00,489.43459499999994,0.591337099811676,92911.3771671485,2025-04-11T04:00:00+00:00,522.748495,6324.114313596248,0.06806609165010119
SPY,2025-04-17T04:00:00+00:00,527.90382,0.591337099811676,99235.49148074475,2025-04-24T04:00:00+00:00,536.4466425,1605.8818998890201,0.016182535864203575
SPY,2025-05-16T04:00:00+00:00,591.545625,0.6214689265536723,100841.37338063376,2025-05-22T04:00:00+00:00,582.36867,-1564.4046824828984,-0.015513520195504765
SPY,2025-07-22T04:00:00+00:00,629.41455,0.6277888895468625,99276.96869815086,2025-07-28T04:00:00+00:00,637.1612600000001,1221.8813279477909,0.012307802544444024
SPY,2025-08-01T04:00:00+00:00,626.6131499999999,0.6209382716049383,100498.85002609865,2025-08-07T04:00:00+00:00,635.92188,1492.9732326930098,0.014855625037553147
SPY,2025-10-08T04:00:00+00:00,670.585125,0.5686561954624781,101991.82325879167,2025-10-14T04:00:00+00:00,656.841415,-2090.3327392478095,-0.020495101199866268
SPY,2025-12-02T05:00:00+00:00,682.26096,0.5762955216145208,99901.49051954386,2025-12-08T05:00:00+00:00,686.246705,583.62106243163,0.005841965514192758
SPY,2026-04-10T04:00:00+00:00,681.66066,0.6559790280298446,100485.11158197548,2026-04-16T04:00:00+00:00,700.70947,2808.0273817677225,0.0279447107890898
SPY,2026-05-18T04:00:00+00:00,740.199915,0.6912280701754385,103293.13896374319,2026-05-22T04:00:00+00:00,745.86688,790.8114975231729,0.007655992503052452
